key,type
_id,ObjectId
block_type,str
edit_info,dict
edit_info.edited_by,Int64
edit_info.edited_by,int
edit_info.edited_on,datetime
edit_info.original_version,ObjectId
edit_info.previous_version,NoneType
edit_info.previous_version,ObjectId
fields,dict
fields,NoneType
fields.allow_file_upload,bool
fields.block_name,str
fields.data,str
fields.display_name,str
fields.editor_assessments_order,list
fields.feedback,str
fields.grading_policy,dict
fields.grading_policy.GRADER,list
fields.grading_policy.GRADE_CUTOFFS,dict
fields.grading_policy.GRADE_CUTOFFS.A,float
fields.grading_policy.GRADE_CUTOFFS.B,float
fields.grading_policy.GRADE_CUTOFFS.C,float
fields.grading_policy.GRADE_CUTOFFS.D,float
fields.grading_policy.GRADE_CUTOFFS.Pass,float
fields.group_id_to_child,dict
fields.group_id_to_child.1841773218,list
fields.items,list
fields.leaderboard_show,int
fields.license,NoneType
fields.license,str
fields.max_submissions,int
fields.private_results,bool
fields.prompt,str
fields.question,str
fields.rubric_assessments,list
fields.rubric_criteria,list
fields.rubric_feedback_default_text,str
fields.rubric_feedback_prompt,str
fields.textbooks,list
fields.title,str
fields.user_partition_id,int
fields.wiki_slug,str
schema_version,int
